Name,Use,URL
Photopea,Online photo editor,www.photopea.com
Desmos,Advanced graphing calculator,www.desmos.com
Lucidchart,Diagramming and visual communication,www.lucidchart.com
Grammarly,Writing assistant and grammar checker,www.grammarly.com
Wolfram Alpha,Computational knowledge engine,www.wolframalpha.com
Otter.ai,Transcription and note-taking,otter.ai
Smallpdf,PDF editing and conversion,www.smallpdf.com
Pixlr,Cloud-based photo editing,pixlr.com
Notion,All-in-one workspace,www.notion.so
Calendly,Scheduling tool,www.calendly.com
MindMeister,Mind mapping and brainstorming,www.mindmeister.com
Kami,PDF and document annotation,www.kamiapp.com
Any.do,Task and to-do list management,www.any.do
CamScanner,Mobile document scanning and sharing,www.camscanner.com
Figma,Collaborative design tool,www.figma.com
Zapier,Connect and automate apps,www.zapier.com
Tinkercad,3D design and modeling,www.tinkercad.com
Sejda,PDF editing and manipulation,www.sejda.com
Coggle,Mind mapping and brainstorming,www.coggle.it
Crello,Graphic design and animation tool,www.crello.com
Mathway,Math problem solver,www.mathway.com
Calm,Meditation and relaxation app,www.calm.com
Kahoot!,Interactive learning games,www.kahoot.com
Draw.io,Online diagramming and flowchart tool,www.draw.io
Scribble Maps,Customizable maps and location-sharing,www.scribblemaps.com
Loom,Screen recording and video messaging,www.loom.com
Mindomo,Mind mapping and brainstorming,www.mindomo.com
Hemingway Editor,Writing style and readability checker,www.hemingwayapp.com
Polarr,Online photo editing and design,www.polarr.co
Cacoo,Online diagramming and collaboration tool,www.cacoo.com
RescueTime,Time tracking and productivity analysis,www.rescuetime.com
Soda PDF,PDF editing and conversion,www.sodapdf.com
Venngage,Infographic maker,www.venngage.com
Todoist,Task and project management,www.todoist.com
Squoosh,Image compression and optimization,squoosh.app
Miro,Online collaborative whiteboard,www.miro.com
Mind42,Mind mapping and brainstorming,www.mind42.com
PDFescape,Online PDF editor,www.pdfescape.com
Visme,Visual content creation tool,www.visme.co
Trello,Project management and collaboration,www.trello.com
PDF Candy,Online PDF tools,www.pdfcandy.com
TypingClub,Typing tutor and keyboarding lessons,www.typingclub.com
Hootsuite,Social media management,www.hootsuite.com
Prezi,Interactive presentations,www.prezi.com
Trinka.AI,Language enhancement for content,www.trinka.ai
Zoho Workplace,Online office suite and collaboration,www.zoho.com/workplace
Otto AI,Meeting scheduling and automation,www.otto.ai
Lucidpress,Print and digital design tool,www.lucidpress.com
Coggle,Online mind mapping,www.coggle.it
PDFescape,PDF editing and form filling,www.pdfescape.com
Soundtrap,Online music studio,www.soundtrap.com
Moqups,Wireframing and mockup tool,www.moqups.com
Lumen5,Video content creation,www.lumen5.com
Coolors,Color palette generator,www.coolors.co
Scribd,Online document sharing and reading,www.scribd.com
Canva,Graphic design and branding,www.canva.com
Fotor,Online photo editor,www.fotor.com
Venmo,Mobile payment and money transfer,venmo.com
Bitly,URL shortening and link management,www.bitly.com
Zapier,Workflow automation,www.zapier.com
Doodle,Online scheduling and event planning,www.doodle.com
Wetransfer,File transfer and sharing,www.wetransfer.com
Clockify,Time tracking and timesheet management,www.clockify.me
Anki,Flashcards and memory retention,www.ankiweb.net
Calm,Meditation and relaxation,www.calm.com
Trello,Project management and collaboration,www.trello.com
Miro,Online collaborative whiteboard,www.miro.com
Grammarly,Writing assistance and grammar checker,www.grammarly.com
Venngage,Infographic maker,www.venngage.com
Calendly,Appointment scheduling,www.calendly.com
G Suite,Productivity and collaboration suite,www.workspace.google.com
Zoho CRM,Customer relationship management,www.zoho.com/crm
Zoom,Video conferencing and webinars,www.zoom.us
LastPass,Password manager,www.lastpass.com
Hootsuite,Social media management,www.hootsuite.com
InVision,Prototyping and design collaboration,www.invisionapp.com
Slack,Team communication and collaboration,www.slack.com
Mint,Personal finance and budgeting,www.mint.com
Todoist,Task management and to-do lists,www.todoist.com
Canva,Graphic design tool,www.canva.com
Asana,Project management and task tracking,www.asana.com
Toggl,Time tracking and productivity,www.toggl.com
SurveyMonkey,Online survey and questionnaire tool,www.surveymonkey.com
Dropbox,File hosting and cloud storage,www.dropbox.com
